=== MATCH SCHEDULE FOR SATURDAY ===
07:20 PM - 07:50 PM | DXD57  | Court 10
07:30 PM - 08:00 PM | DXD58  | Court 15
07:30 PM - 08:00 PM | DXD59  | Court 16
07:30 PM - 08:00 PM | DXD60  | Court 17
07:30 PM - 07:40 PM | DXD65  | Court 14
07:30 PM - 07:40 PM | DXD67  | Court 1
07:40 PM - 07:50 PM | DXD69  | Court 17
07:40 PM - 07:50 PM | DXD70  | Court 11
07:40 PM - 07:50 PM | DXD71  | Court 12
07:40 PM - 07:50 PM | DXD72  | Court 13
07:40 PM - 07:50 PM | DXD73  | Court 14
07:40 PM - 07:50 PM | DXD74  | Court 1
07:50 PM - 08:00 PM | DXD76  | Court 17
07:50 PM - 08:00 PM | DXD77  | Court 11
07:50 PM - 08:00 PM | DXD78  | Court 12
07:50 PM - 08:00 PM | DXD80  | Court 13
07:50 PM - 08:00 PM | DXD82  | Court 14
07:50 PM - 08:00 PM | DXD84  | Court 1
07:50 PM - 08:00 PM | DXD91  | Court 2
07:50 PM - 08:00 PM | DXD95  | Court 3
07:50 PM - 08:20 PM | BXD25  | Court 4
07:50 PM - 08:20 PM | BXD26  | Court 5
07:50 PM - 08:20 PM | BXD27  | Court 6
07:50 PM - 08:20 PM | BXD28  | Court 7
07:50 PM - 08:00 PM | DWS35  | Court 8
07:50 PM - 08:00 PM | DWS36  | Court 9
07:50 PM - 08:00 PM | DWS38  | Court 10
08:00 PM - 08:10 PM | DWS40  | Court 15
08:00 PM - 08:10 PM | DWS41  | Court 16
08:00 PM - 08:10 PM | DWS42  | Court 17
08:00 PM - 08:10 PM | DWS45  | Court 17
08:00 PM - 08:10 PM | DWS47  | Court 11
08:00 PM - 08:30 PM | BWS5   | Court 12
08:00 PM - 08:30 PM | BWS6   | Court 13
08:00 PM - 08:10 PM | CMS208 | Court 14
08:00 PM - 08:10 PM | CMS209 | Court 1
08:00 PM - 08:10 PM | CMS210 | Court 2
08:00 PM - 08:10 PM | CMS211 | Court 3
